pin_code,state,district,n_era5_cells,polygon_source,data_quality,hot_days_pct,warm_nights_pct,xhot_days_pct,heat_index_pct,hwdi_pct,trend_cdecade,hot_days_pct_norm,warm_nights_pct_norm,xhot_days_pct_norm,heat_index_pct_norm,hwdi_pct_norm,trend_cdecade_norm,heat_score,risk_level
605402,Tamil Nadu,Villupuram,2,actual_polygon,medium,21.077860832214355,62.47039604187012,0.1486638188362121,20.225187301635746,7.62698221206665,-0.1845114603638649,38.4823,67.3197,0.6616,65.2705,63.9651,3.6564,54.44,Moderate
605403,Tamil Nadu,Villupuram,3,voronoi_proxy,voronoi_proxy,19.49365361531576,59.40118408203125,0.0939049497246742,15.222174962361654,7.983937899271647,-0.162747194369634,35.59,64.0123,0.4179,49.1248,66.9601,6.249,50.53,Moderate
605501,Puducherry,Pondicherry,4,actual_polygon,high,12.69030499458313,67.58757400512695,0.0273919142782688,17.34874153137207,6.54565155506134,-0.1576582416892051,23.169,72.8341,0.1219,55.9877,54.8925,6.8552,48.45,Moderate
605502,Puducherry,Pondicherry,4,actual_polygon,high,10.910627126693726,68.09008407592773,0.0156555771827697,16.431527137756348,6.209302544593811,-0.1498848609626293,19.9198,73.3757,0.0697,53.0276,52.0705,7.7812,46.66,Moderate
605601,Tamil Nadu,Villupuram,2,actual_polygon,medium,20.115833282470703,64.55099487304688,0.1134601533412933,21.98157501220703,7.134280681610107,-0.1922457590699196,36.7259,69.5618,0.505,70.9387,59.8312,2.7351,54.53,Moderate
605602,Tamil Nadu,Villupuram,4,actual_polygon,high,21.341936111450195,62.86548805236816,0.1467229090631008,20.663244247436523,7.67192804813385,-0.1840070709586143,38.9644,67.7455,0.653,66.6842,64.3422,3.7165,55.16,Moderate
605651,Tamil Nadu,Villupuram,4,voronoi_proxy,voronoi_proxy,21.17378759384156,62.861122131347656,0.2385604120790958,21.584431648254395,7.093152761459351,-0.1890077777206897,38.6575,67.7408,1.0617,69.657,59.4862,3.1208,54.45,Moderate
605652,Tamil Nadu,Villupuram,4,actual_polygon,high,20.602830410003666,64.0933313369751,0.1545186229050159,22.012826919555664,7.181188464164734,-0.1887841187417507,37.615,69.0687,0.6877,71.0395,60.2248,3.1474,54.98,Moderate
605701,Tamil Nadu,Villupuram,4,actual_polygon,high,19.566018104553223,59.01268482208252,0.099782919511199,15.08719515800476,8.09604001045227,-0.1639122031629085,35.7221,63.5936,0.4441,48.6892,67.9006,6.1103,50.53,Moderate
605702,Tamil Nadu,Kallakurichi,5,actual_polygon,high,14.202314853668211,44.32591667175293,0.0219006985425949,7.61867094039917,8.549035453796387,-0.1218231201171875,25.9295,47.7668,0.0975,24.5869,71.7014,11.124,40.81,Low
605751,Tamil Nadu,Kallakurichi,5,actual_polygon,high,19.254170227050786,55.99828186035156,0.0892154023051261,13.28073673248291,8.685555839538575,-0.1366385787725448,35.1528,60.3452,0.3971,42.8594,72.8468,9.3592,50.7,Moderate
605752,Tamil Nadu,Villupuram,2,actual_polygon,medium,19.192402839660645,56.900808334350586,0.1017612516880035,13.622360706329346,8.54968786239624,-0.1588323414325714,35.04,61.3178,0.4529,43.9619,71.7068,6.7154,49.8,Moderate
605754,Tamil Nadu,Kallakurichi,5,actual_polygon,high,19.06188850402832,55.61336135864258,0.0641622021794319,12.0353271484375,8.549270629882812,-0.123193971812725,34.8017,59.9304,0.2856,38.8403,71.7033,10.9607,49.84,Moderate
605755,Tamil Nadu,Villupuram,4,actual_polygon,high,21.181472778320312,60.43269157409668,0.1467389613389969,17.876204252243042,8.139098167419434,-0.1726919300854206,38.6715,65.1239,0.6531,57.6899,68.2619,5.0644,53.69,Moderate
605756,Tamil Nadu,Kallakurichi,2,actual_polygon,medium,19.004674911499023,56.50199317932129,0.0821810849010944,12.906728744506836,8.635515213012695,-0.1384886056184768,34.6973,60.888,0.3657,41.6524,72.427,9.1388,50.2,Moderate
605757,Tamil Nadu,Kallakurichi,2,actual_polygon,medium,18.82855987548828,56.18119621276856,0.0900195688009262,12.926233768463137,8.659159183502197,-0.1492254063487053,34.3757,60.5423,0.4006,41.7154,72.6253,7.8598,49.56,Moderate
605758,Tamil Nadu,Villupuram,4,actual_polygon,high,18.59986400604248,56.49200344085693,0.0743639916181564,12.38833475112915,8.455695390701294,-0.1495633050799369,33.9582,60.8773,0.331,39.9795,70.9182,7.8195,48.62,Moderate
605759,Tamil Nadu,Kallakurichi,1,actual_polygon,low,18.601694107055664,55.95442962646485,0.0861056745052337,12.56246566772461,8.66702938079834,-0.1502574533224105,33.9615,60.298,0.3832,40.5414,72.6914,7.7369,49.05,Moderate
605766,Tamil Nadu,Kallakurichi,6,actual_polygon,high,19.57054583231608,57.16552289326986,0.1082701546450456,14.035826683044434,8.550839106241861,-0.1506368219852447,35.7304,61.6031,0.4819,45.2963,71.7165,7.6917,50.82,Moderate
605801,Tamil Nadu,Kallakurichi,5,actual_polygon,high,17.07014331817627,51.25501327514648,0.0641622014343738,11.066922473907471,8.436452293395996,-0.1342033773660659,31.1653,55.2337,0.2856,35.715,70.7568,9.6493,46.09,Moderate
605802,Tamil Nadu,Kallakurichi,4,actual_polygon,high,19.44682502746582,56.087432861328125,0.091944433748722,13.387966394424438,8.47487998008728,-0.1322064790874719,35.5045,60.4413,0.4092,43.2055,71.0792,9.8871,50.68,Moderate
605803,Tamil Nadu,Villupuram,5,actual_polygon,high,20.80311431884765,58.35268630981445,0.1408702597022056,15.844936561584472,8.507475471496582,-0.1587101250886917,37.9807,62.8824,0.6269,51.1346,71.3527,6.7299,52.75,Moderate
606001,Tamil Nadu,Cuddalore,6,actual_polygon,high,23.036075592041016,60.71700096130371,0.12779684116443,18.453207969665527,8.15504797299703,-0.1818020368615786,42.0575,65.4302,0.5688,59.552,68.3957,3.9792,54.66,Moderate
606003,Tamil Nadu,Cuddalore,4,voronoi_proxy,voronoi_proxy,22.724502086639404,61.08785533905029,0.1154117584228515,18.580329418182373,8.020205616950989,-0.1815610900521278,41.4886,65.8299,0.5136,59.9622,67.2644,4.0079,54.43,Moderate
606102,Tamil Nadu,Kallakurichi,7,actual_polygon,high,21.514127458844865,58.96610042027065,0.1464517574225153,16.824875150408065,8.400047983442034,-0.1576197211231504,39.2788,63.5434,0.6518,54.297,70.4513,6.8598,53.9,Moderate
606103,Tamil Nadu,Cuddalore,4,actual_polygon,high,23.58133554458618,63.9544849395752,0.0782618494704365,22.419464588165283,7.767908811569214,-0.2095515467226505,43.053,68.919,0.3483,72.3518,65.1475,0.6736,56.79,Moderate
606104,Tamil Nadu,Cuddalore,6,actual_polygon,high,22.94343344370524,59.49943161010742,0.1538752093911171,17.689183235168457,8.2722327709198,-0.1722371478875478,41.8883,64.1181,0.6848,57.0863,69.3789,5.1186,54.42,Moderate
606105,Tamil Nadu,Cuddalore,4,actual_polygon,high,23.594544887542725,61.30690860748291,0.1290890034288168,18.721197605133057,8.139257907867432,-0.2031247764825821,43.0771,66.0659,0.5745,60.4168,68.2632,1.4391,54.19,Moderate
606106,Tamil Nadu,Cuddalore,6,actual_polygon,high,22.67199834187825,58.13689994812012,0.1330225020647049,15.986454168955484,8.320208231608072,-0.1832940131425857,41.3928,62.6498,0.592,51.5913,69.7815,3.8014,52.02,Moderate
606107,Tamil Nadu,Kallakurichi,5,actual_polygon,high,22.007828140258788,58.63608322143555,0.1564958855509758,16.826028633117676,8.335559177398682,-0.1566437274217605,40.1802,63.1878,0.6965,54.3008,69.9103,6.9761,53.96,Moderate
606108,Tamil Nadu,Cuddalore,3,actual_polygon,medium,21.91829999287923,56.44464619954427,0.1225997110207875,14.651296615600586,8.403587023417154,-0.1710950086514155,40.0167,60.8262,0.5456,47.2825,70.481,5.2546,50.88,Moderate
606109,Tamil Nadu,Cuddalore,5,actual_polygon,high,21.134555435180665,53.31221008300781,0.0939035192131996,14.163129615783692,8.468272590637207,-0.1502015769481658,38.5858,57.4506,0.4179,45.7071,71.0238,7.7435,50.42,Moderate
606110,Tamil Nadu,Cuddalore,4,actual_polygon,high,23.41868162155152,62.21223831176758,0.0978099321946501,19.90635395050049,8.006383299827576,-0.205128613859415,42.756,67.0415,0.4353,64.2416,67.1484,1.2004,54.91,Moderate
606111,Tamil Nadu,Cuddalore,3,actual_polygon,medium,23.58734957377116,60.58002599080404,0.140836035211881,17.744035085042317,8.23425579071045,-0.2029354820648829,43.0639,65.2826,0.6268,57.2634,69.0603,1.4617,53.4,Moderate
606115,Tamil Nadu,Cuddalore,7,actual_polygon,high,22.09656088692801,61.0591070992606,0.1263323192085538,18.274321147373744,7.897386482783726,-0.1664175880806786,40.3422,65.7989,0.5622,58.9747,66.2339,5.8118,54.39,Moderate
606201,Tamil Nadu,Kallakurichi,7,actual_polygon,high,16.783465249197825,41.816359111240935,0.0581156781741551,11.7334691796984,8.875785963875908,-0.1272409526365144,30.6419,45.0624,0.2586,37.8661,74.4429,10.4786,45.2,Moderate
606202,Tamil Nadu,Kallakurichi,4,actual_polygon,high,21.23615074157715,52.09451198577881,0.1095248740166425,15.940135955810549,8.696057796478271,-0.1365690790116787,38.7713,56.1384,0.4874,51.4418,72.9349,9.3675,52.8,Moderate
606203,Tamil Nadu,Cuddalore,4,actual_polygon,high,21.605627059936523,53.81528949737549,0.095842283219099,14.946584224700928,8.629815816879272,-0.141421552747488,39.4459,57.9928,0.4265,48.2354,72.3791,8.7894,52.22,Moderate
606204,Tamil Nadu,Kallakurichi,5,actual_polygon,high,21.08301658630371,51.20029525756836,0.0891897350549697,14.964245796203612,8.668556785583496,-0.1369336754083633,38.4917,55.1748,0.3969,48.2924,72.7042,9.324,51.57,Moderate
606205,Tamil Nadu,Kallakurichi,4,actual_polygon,high,20.36201906204224,55.79226303100586,0.1154171023517847,14.633718013763428,8.588346004486084,-0.1398130655288696,37.1754,60.1232,0.5137,47.2258,72.0312,8.981,51.94,Moderate
606206,Tamil Nadu,Kallakurichi,6,actual_polygon,high,21.402350107828777,55.57530848185221,0.12257831543684,15.576984564463295,8.669393380482992,-0.1419765949249267,39.0747,59.8894,0.5455,50.2699,72.7112,8.7233,53.22,Moderate
606207,Tamil Nadu,Kallakurichi,5,actual_polygon,high,11.33919448852539,33.60931549072266,0.0187738604843616,6.650309300422668,8.876219940185546,-0.1252498671412468,20.7022,36.2183,0.0836,21.4618,74.4465,10.7158,36.23,Low
606208,Tamil Nadu,Kallakurichi,4,actual_polygon,high,19.29812002182007,52.264625549316406,0.0977992312982678,14.025439023971558,8.474784135818481,-0.1435275226831436,35.233,56.3217,0.4353,45.2627,71.0784,8.5385,49.51,Moderate
606209,Tamil Nadu,Kallakurichi,10,actual_polygon,high,4.220869463682175,14.781647205352783,0.0007827788591384,1.804465714097023,9.234488677978517,-0.0836118575185537,7.7061,15.9291,0.0035,5.8234,77.4525,15.6759,26.55,Very Low
606213,Tamil Nadu,Kallakurichi,4,actual_polygon,high,21.23615074157715,52.09451198577881,0.1095248740166425,15.940135955810549,8.696057796478271,-0.1365690790116787,38.7713,56.1384,0.4874,51.4418,72.9349,9.3675,52.8,Moderate
606301,Tamil Nadu,Cuddalore,6,actual_polygon,high,19.707143147786457,48.20141347249349,0.0821668282151222,13.913286685943604,8.618679841359457,-0.1383379871646563,35.9798,51.9431,0.3657,44.9008,72.2857,9.1567,49.04,Moderate
606302,Tamil Nadu,Cuddalore,5,actual_polygon,high,23.131050491333006,58.98340301513672,0.1408360242843628,17.239120483398438,8.34951286315918,-0.1773933738470077,42.2309,63.5621,0.6268,55.6339,70.0273,4.5043,53.88,Moderate
606303,Tamil Nadu,Cuddalore,4,actual_polygon,high,20.846615314483643,52.69067192077637,0.103691466152668,13.97847843170166,8.455577850341797,-0.1593820229172706,38.0601,56.7808,0.4615,45.1112,70.9172,6.6499,49.47,Moderate
