pin_code,state,district,raw_ltm_rainfall_mm,raw_cdd_p90_days,raw_deficit_freq_pct,raw_trend_mm_per_decade,trend_direction,trend_significant,mk_pval,data_source,nn_pincodes_used,nn_max_dist_km,pet_mm,aridity_index,chirps_ltm_mm,chirps_deficit_pct,chirps_monsoon_conc,chirps_trend_mm_yr,chirps_trend_pval,norm_aridity_index,norm_ltm_rainfall,norm_deficit_freq,norm_cdd_p90,norm_monsoon_conc,norm_trend,drought_score,risk_level
110076,Delhi,South,776.6,76.7,18.94,37.8,Strong Wetting,False,0.0671,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.94,78.47,50.0,67.3,Very High
110077,Delhi,New Delhi,708.1,83.0,23.56,31.34,Strong Wetting,False,0.155,nearest_neighbour,"[110061, 110097, 122016]",3.7,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,32.84,78.47,50.0,68.04,Very High
110078,Delhi,South West,690.3,80.4,23.3,33.53,Strong Wetting,False,0.1299,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,30.82,78.47,50.0,67.73,Very High
110080,Delhi,South,766.4,78.8,19.89,39.94,Strong Wetting,False,0.0578,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.57,78.47,50.0,67.55,Very High
110081,Delhi,North West,662.4,74.7,23.55,37.69,Strong Wetting,False,0.1209,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.38,78.47,50.0,67.07,Very High
110082,Delhi,North,705.3,75.9,21.02,32.28,Strong Wetting,False,0.1938,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.32,78.47,50.0,67.21,Very High
110083,Delhi,North West,703.8,77.0,24.24,43.42,Strong Wetting,False,0.0758,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.17,78.47,50.0,67.34,Very High
110084,Delhi,Central,749.3,79.2,19.32,41.33,Strong Wetting,False,0.1067,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,29.88,78.47,50.0,67.59,Very High
110085,Delhi,North West,705.4,76.7,23.86,42.86,Strong Wetting,False,0.0838,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.94,78.47,50.0,67.3,Very High
110086,Delhi,North West,682.0,74.0,23.3,41.34,Strong Wetting,False,0.0878,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,25.84,78.47,50.0,66.99,Very High
