pin_code,state,district,flood_hazard_pct,flood_occurrence_pct,twi_pct,water_prox_pct,rainfall_score,flood_trend_raw,flood_hazard_pct_norm,flood_occurrence_pct_norm,twi_pct_norm,water_prox_pct_norm,rainfall_score_norm,flood_trend_norm,method,flood_score,flood_risk_level,weight_scheme,is_coastal,coastal_adjustment,flood_score_raw
759103,Odisha,Anugul,1.0,1.0,63.0,100.0,16.37,2.090781656765236,35.89,82.43,28.81,100.0,16.37,3.39,polygon,40.3725,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,40.3725
759104,Odisha,Anugul,62.0,16.0,66.0,100.0,18.4,3.4406678592725104,85.75,98.11,51.2,100.0,18.4,5.58,polygon,54.414,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,54.414
759105,Odisha,Anugul,7.0,3.0,66.0,100.0,27.77,0.6942658443773783,56.21,91.98,51.2,100.0,27.77,1.13,polygon,49.3565,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.3565
759106,Odisha,Anugul,0.0,0.0,64.0,100.0,18.4,0.2741806554756195,15.94,38.61,35.03,100.0,18.4,0.44,polygon,31.307,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,31.307
759107,Odisha,Anugul,41.0,6.0,64.0,100.0,18.4,1.7117780294450735,79.56,95.26,35.03,100.0,18.4,2.78,polygon,49.9325,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.9325
759111,Odisha,Anugul,3.0,2.0,66.0,100.0,17.58,0.8568609486221721,46.18,89.36,51.2,100.0,17.58,1.39,polygon,45.99549999999999,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.99549999999999
759116,Odisha,Anugul,0.0,0.0,63.0,100.0,18.4,0.0,15.94,38.61,28.81,100.0,18.4,0.0,polygon,30.264000000000003,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,30.264000000000003
759117,Odisha,Anugul,7.0,1.0,65.0,100.0,17.91,0.6988878732480195,56.21,82.43,42.48,100.0,17.91,1.13,polygon,45.137,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.137
759118,Odisha,Anugul,8.0,2.0,66.0,100.0,19.71,0.289749937327651,57.85,89.36,51.2,100.0,19.71,0.47,polygon,47.8355,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,47.8355
759119,Odisha,Anugul,16.0,12.0,66.0,86.0,20.37,1.0622579497163431,66.96,97.37,51.2,86.0,20.37,1.72,polygon,48.715,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.715
759120,Odisha,Dhenkanal,13.0,2.0,64.0,100.0,16.65,0.2942753130375645,64.26,89.36,35.03,100.0,16.65,0.48,polygon,45.915,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.915
759121,Odisha,Dhenkanal,15.0,1.0,64.0,100.0,17.85,0.5971676269452372,66.15,82.43,35.03,100.0,17.85,0.97,polygon,45.4615,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,45.4615
759122,Odisha,Anugul,0.0,0.0,62.0,100.0,19.58,0.2845878136200717,15.94,38.61,25.02,100.0,19.58,0.46,polygon,29.9875,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,29.9875
759123,Odisha,Anugul,0.0,0.0,64.0,100.0,16.33,0.0887552172845568,15.94,38.61,35.03,100.0,16.33,0.14,polygon,30.9215,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,30.9215
759124,Odisha,Anugul,1.0,0.0,66.0,100.0,16.23,0.0595875736475629,35.89,38.61,51.2,100.0,16.23,0.1,polygon,36.3145,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.3145
759125,Odisha,Anugul,9.0,0.0,68.0,99.0,17.38,0.1879992704723691,59.33,38.61,79.28,99.0,17.38,0.31,polygon,44.1175,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,44.1175
759126,Odisha,Anugul,2.0,0.0,68.0,100.0,18.7,0.5166088426296593,42.22,38.61,79.28,100.0,18.7,0.84,polygon,42.0315,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,42.0315
759127,Odisha,Anugul,0.0,0.0,68.0,100.0,16.96,0.0258110014104372,15.94,38.61,79.28,100.0,16.96,0.04,polygon,37.6285,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.6285
759128,Odisha,Anugul,4.0,0.0,64.0,100.0,17.96,0.1951312576312576,49.31,38.61,35.03,100.0,17.96,0.32,polygon,36.2165,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,36.2165
759129,Odisha,Anugul,0.0,0.0,64.0,94.0,18.29,0.0375574918529133,15.94,38.61,35.03,94.0,18.29,0.06,polygon,30.2955,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,30.2955
759130,Odisha,Anugul,4.0,0.0,66.0,100.0,17.01,0.1061252580867171,49.31,38.61,51.2,100.0,17.01,0.17,polygon,38.46199999999999,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,38.46199999999999
759132,Odisha,Anugul,1.0,0.0,68.0,90.0,16.96,0.0290903136896396,35.89,38.61,79.28,90.0,16.96,0.05,polygon,39.1235,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,39.1235
759136,Odisha,,1.0,0.0,68.0,100.0,18.23,0.3876734258271078,35.89,38.61,79.28,100.0,18.23,0.63,polygon,47.959,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,40.959
759139,Odisha,,10.0,0.0,63.0,100.0,17.03,0.2407906558849955,60.82,38.61,28.81,100.0,17.03,0.39,polygon,43.888,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,36.888
759141,Odisha,Anugul,0.0,0.0,66.0,100.0,18.02,0.0332606526479175,15.94,38.61,51.2,100.0,18.02,0.05,polygon,33.578,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.578
759143,Odisha,Anugul,5.0,3.0,67.0,100.0,17.58,1.1285653770121435,51.98,91.98,60.83,100.0,17.58,1.83,polygon,48.813,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,48.813
759145,Odisha,Anugul,1.0,0.0,63.0,100.0,17.17,0.433048433048433,35.89,38.61,28.81,100.0,17.17,0.7,polygon,33.247,Low,ipcc_15x5_25trend_inform_coastal+7,False,0.0,33.247
759146,Odisha,Dhenkanal,14.0,1.0,65.0,100.0,18.4,0.53866802089379,65.25,82.43,42.48,100.0,18.4,0.87,polygon,46.5015,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,46.5015
759147,Odisha,Anugul,22.0,10.0,66.0,100.0,18.23,6.441353383458647,71.47,96.92,51.2,100.0,18.23,10.45,polygon,53.28549999999999,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,53.28549999999999
759148,Odisha,Anugul,0.0,0.0,67.0,100.0,21.4,0.0542941757156959,15.94,38.61,60.83,100.0,21.4,0.09,polygon,35.539500000000004,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,35.539500000000004
759149,Odisha,Anugul,0.0,0.0,68.0,100.0,18.22,0.0237659963436928,15.94,38.61,79.28,100.0,18.22,0.04,polygon,37.8175,Medium,ipcc_15x5_25trend_inform_coastal+7,False,0.0,37.8175
759151,Odisha,Dhenkanal,16.0,4.0,66.0,100.0,17.02,1.5341780593531178,66.96,93.49,51.2,100.0,17.02,2.49,polygon,49.923,High,ipcc_15x5_25trend_inform_coastal+7,False,0.0,49.923
760001,Odisha,Ganjam,0.0,0.0,65.0,100.0,27.38,0.0077669902912621,15.94,38.61,42.48,100.0,27.38,0.01,polygon,40.664,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.664
760002,Odisha,Ganjam,0.0,0.0,65.0,100.0,27.38,0.0575114216608438,15.94,38.61,42.48,100.0,27.38,0.09,polygon,40.684000000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.684000000000005
760003,Odisha,Ganjam,29.0,0.0,64.0,100.0,27.38,0.1778031290743155,74.87,38.61,35.03,100.0,27.38,0.29,polygon,48.456,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,41.456
760004,Odisha,Ganjam,0.0,0.0,65.0,100.0,27.38,0.0,15.94,38.61,42.48,100.0,27.38,0.0,polygon,40.661500000000004,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.661500000000004
760005,Odisha,Ganjam,0.0,0.0,64.0,100.0,27.38,0.0,15.94,38.61,35.03,100.0,27.38,0.0,polygon,39.544,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,32.544
760006,Odisha,Ganjam,6.0,0.0,66.0,100.0,27.38,0.4594594594594595,54.23,38.61,51.2,100.0,27.38,0.75,polygon,47.9005,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,40.9005
760007,Odisha,Ganjam,26.0,0.0,64.0,100.0,27.38,0.0717899301373163,73.51,38.61,35.03,100.0,27.38,0.12,polygon,48.209500000000006,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,41.209500000000006
760008,Odisha,Ganjam,39.0,1.0,64.0,100.0,27.38,0.1951152579582876,78.81,82.43,35.03,100.0,27.38,0.32,polygon,55.6275,Very High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,48.6275
760009,Odisha,Ganjam,0.0,0.0,65.0,100.0,27.38,0.0532178217821782,15.94,38.61,42.48,100.0,27.38,0.09,polygon,40.684000000000005,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.684000000000005
760010,Odisha,Ganjam,5.0,0.0,65.0,100.0,27.38,0.0297766749379652,51.98,38.61,42.48,100.0,27.38,0.05,polygon,46.08,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,39.08
760011,Odisha,Ganjam,0.0,0.0,65.0,100.0,27.38,0.0,15.94,38.61,42.48,100.0,27.38,0.0,polygon,40.661500000000004,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.661500000000004
761001,Odisha,Ganjam,0.0,0.0,64.0,100.0,27.17,0.1036357047952651,15.94,38.61,35.03,100.0,27.17,0.17,polygon,39.555,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,32.555
761002,Odisha,Ganjam,31.0,33.0,44.0,100.0,27.38,0.1568298563790753,75.79,99.37,12.97,100.0,27.38,0.25,polygon,54.389,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,47.389
761003,Odisha,Ganjam,22.0,0.0,65.0,100.0,22.93,0.1848953107231253,71.47,38.61,42.48,100.0,22.93,0.3,polygon,48.398500000000006,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,41.398500000000006
761004,Odisha,Ganjam,21.0,0.0,65.0,100.0,24.41,0.0374040128808521,70.88,38.61,42.48,100.0,24.41,0.06,polygon,48.472,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,41.472
761005,Odisha,Ganjam,0.0,0.0,51.0,65.0,23.75,0.0085073820669787,15.94,38.61,13.16,65.0,23.75,0.01,polygon,30.4715,Low,ipcc_15x5_25trend_inform_coastal+7,True,7.0,23.4715
761006,Odisha,Ganjam,20.0,0.0,65.0,100.0,24.1,0.0232795589136205,70.19,38.61,42.48,100.0,24.1,0.04,polygon,48.317,High,ipcc_15x5_25trend_inform_coastal+7,True,7.0,41.317
761007,Odisha,Ganjam,0.0,0.0,65.0,100.0,25.79,0.0782830315224681,15.94,38.61,42.48,100.0,25.79,0.13,polygon,40.4555,Medium,ipcc_15x5_25trend_inform_coastal+7,True,7.0,33.4555
